DFE.statistic,LK4-A04,LK3-D08,LK3-G02,LK2-F11,LK1-E09,LK4-E02,LK1-C09,LK2-A12,LK4-H11,LK4-A12,LK4-B12,LK4-D01,LK2-E07,LK2-B04,LK3-D09,LK1-D06,LK1-C11,LK2-A01,model_comp_p_full_vs_qtl,model_comp_p_full_vs_x,var,x_slope,full_model_x_slope,full_model_x_effect_size_measure,full_model_qtl_effect_sizes,segregant_model_r2,segregant_model_p,segregant_model_r2_95_conf_low,segregant_model_r2_95_conf_high,segregant_model_p_values,segregant_model_params,segregant_model_coeffs,x_model_r2,x_model_p,x_model_r2_95_conf_low,x_model_r2_95_conf_high,x_model_p_values,x_model_params,x_model_coeffs,qtl_model_r2,qtl_model_p,qtl_model_r2_95_conf_low,qtl_model_r2_95_conf_high,qtl_model_p_values,qtl_model_params,qtl_model_coeffs,resid_qtl_model_r2,resid_qtl_model_p,resid_qtl_model_r2_95_conf_low,resid_qtl_model_r2_95_conf_high,resid_qtl_model_p_values,resid_qtl_model_params,resid_qtl_model_coeffs,resid_x_model_r2,resid_x_model_p,resid_x_model_r2_95_conf_low,resid_x_model_r2_95_conf_high,resid_x_model_p_values,resid_x_model_params,resid_x_model_coeffs,full_model_r2,full_model_p,full_model_r2_95_conf_low,full_model_r2_95_conf_high,full_model_p_values,full_model_params,full_model_coeffs,full_plus_seg_model_r2,full_plus_seg_model_p,full_plus_seg_model_r2_95_conf_low,full_plus_seg_model_r2_95_conf_high,full_plus_seg_model_p_values,full_plus_seg_model_params,full_plus_seg_model_coeffs,full_resid_seg_model_r2,full_resid_seg_model_p,full_resid_seg_model_r2_95_conf_low,full_resid_seg_model_r2_95_conf_high,full_resid_seg_model_p_values,full_resid_seg_model_params,full_resid_seg_model_coeffs,qtls,resid.qtls,full.model.qtls
background.fitness,0.036559047,0.023624539,-0.021250726,0.035349227000000004,0.00130607,-0.021837705,0.097834819,-0.029611706,-0.043349795,0.044940192,-0.022692414,0.011072576,0.021067245,0.068553692,-0.077437477,-0.060605349,0.03763259,-0.003379405,3.564883133503434e-267,,0.0019316022893680097,1.0,1.0,0.175272296,,,,,,,,,1.0,3.564883133503434e-267,1.0,1.0,9.361897647242076e-06;3.5648831335033006e-267,x,-1.734723475976807e-18;1.0,,,,,NA,NA,NA,,,,,NA,NA,NA,1.0,3.564883133503434e-267,1.0,1.0,9.361897647242076e-06;3.5648831335033006e-267,x,-1.734723475976807e-18;1.0,1.0,3.564883133503434e-267,1.0,1.0,9.361897647242076e-06;3.5648831335033006e-267,x,-1.734723475976807e-18;1.0,,,,,,,,,,,,,,,,,
mean,-0.0050148512682161575,-0.005416292572971404,-0.0037596055978873803,-0.0048652221232975915,-0.0025094702520025497,-0.003774137258382058,-0.003753591573795447,-0.0025828874672228865,-0.003060140689777096,-0.0031367638738876618,-0.0026336373876736175,-0.00370206429472223,-0.00362721719644382,-0.003689229260784588,-0.00268015747230911,-0.002676066014061291,-0.005131406811350213,-0.0049559578831828086,0.03433978957996115,,9.047768970080482e-07,-0.010834810951430185,-0.010834810951430185,-0.0018990421921831128,,,,,,,,,0.2506218231621775,0.03433978957996115,0.040806670591261564,0.6616358665924307,6.495431991710473e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430185,,,,,NA,NA,NA,,,,,NA,NA,NA,0.2506218231621775,0.03433978957996115,0.03175058317903959,0.7010970208945111,6.495431991710473e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430185,0.2506218231621775,0.03433978957996115,0.03939085325609468,0.6752385236978955,6.495431991710473e-12;0.03433978957996125,x,-0.0036616289336984;-0.010834810951430185,,,,,,,,,,,,,,,,,
median,0.0010855465236300002,0.0001731952944695,0.0006017959428469999,0.000504387113963,0.000646422950358,0.000712552708063,0.0004394660657375001,0.00078680254145,0.000181797960432,0.000338786105155,0.0001436819872295,0.000545237162047,0.000190593697285,0.0004436986761,0.00020464928682150003,0.000639469464491,0.000676702565421,0.0006900734219889999,0.7219116933460981,,6.343187481343115e-08,0.0005168440793632948,0.0005168440793632948,9.05884484640109e-05,,,,,,,,,0.008134469872362216,0.7219116933460981,7.717314306812664e-05,0.32874621014913824,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.0005168440793632948,,,,,NA,NA,NA,,,,,NA,NA,NA,0.008134469872362216,0.7219116933460981,6.9479895132335e-05,0.30189482750639934,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.0005168440793632948,0.008134469872362216,0.7219116933460981,0.00010532819071585597,0.3091996875742485,6.819102111066566e-07;0.7219116933460921,x,0.0004974624900308187;0.0005168440793632948,,,,,,,,,,,,,,,,,
variance,0.0006083910420613096,0.00039902661349094167,0.00022648546679453863,0.0003006932166230518,0.00014825761011423604,0.0004389379120238197,0.000319408517467617,0.00017101385038608793,0.00027763149293166014,0.00021148051882257675,0.0002628970930758633,0.00024261913934953578,0.00024207620676310103,0.00022404308325640323,0.00023544031468878705,0.0002028345014934362,0.0003678090690725898,0.00036682278657642443,0.2946106639374643,,1.1841237572559363e-08,0.0006473854493006416,0.0006473854493006416,0.00011346873409591504,,,,,,,,,0.06836699396818113,0.2946106639374643,0.0003979863017043006,0.35896108430358276,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006416,,,,,NA,NA,NA,,,,,NA,NA,NA,0.06836699396818113,0.2946106639374643,0.0003076046300787366,0.35629543047131396,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006416,0.06836699396818113,0.2946106639374643,0.0004865852912530528,0.36617007403480734,8.366753276952328e-09;0.29461066393746427,x,0.0002879205583769289;0.0006473854493006416,,,,,,,,,,,,,,,,,
skew,-4.960424266148724,-3.772832029141854,-3.236788345122518,-3.0880248830686328,-5.111774344975222,-5.827919763576702,-4.911627656662463,-4.958467691280922,-5.079234688467615,-5.1870774842701675,-6.502331946917839,-4.276488360366938,-4.213557632846081,-4.306430756127945,-4.337397006456254,-3.611695214087479,-3.7606024106012508,-4.506461604354575,0.7649201675089152,,0.731815163117943,1.4758535804365671,1.4758535804365671,0.2586762456029378,,,,,,,,,0.005749139598481778,0.7649201675089152,2.4854076112795784e-05,0.34114176376378197,4.040741353031629e-13;0.76492016750891,x,-4.544079904897714;1.4758535804365671,,,,,NA,NA,NA,,,,,NA,NA,NA,0.005749139598481778,0.7649201675089152,8.369287215196364e-05,0.33611818742860744,4.040741353031629e-13;0.76492016750891,x,-4.544079904897714;1.4758535804365671,0.005749139598481778,0.7649201675089152,5.493596503587386e-05,0.33077716553505093,4.040741353031629e-13;0.76492016750891,x,-4.544079904897714;1.4758535804365671,,,,,,,,,,,,,,,,,
kurtosis,28.299205106772114,15.49617361150867,12.51097564597784,9.742885129359715,35.84776863058294,41.139505535390285,29.47240671374098,32.82272668237887,35.13769515671255,33.64307469264122,62.30807730532234,23.953376396327478,22.411778071718743,21.964105623698515,26.512328333986854,17.048850499044175,15.076091479651332,24.505232977536114,0.4296727783285329,,145.5647705995112,-54.501237891489865,-54.501237891489865,-9.552557100083627,,,,,,,,,0.039416146576913724,0.4296727783285329,8.380584561766549e-05,0.3501098301088662,8.662875349325432e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,,,,,NA,NA,NA,,,,,NA,NA,NA,0.039416146576913724,0.4296727783285329,0.00013875591133005738,0.39632796810420157,8.662875349325432e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,0.039416146576913724,0.4296727783285329,8.422380050220335e-05,0.37819334916442165,8.662875349325432e-08;0.42967277832853223,x,27.40117438987283;-54.501237891489865,,,,,,,,,,,,,,,,,
significant.beneficial.mutations,12.0,8.0,5.0,3.0,4.0,9.0,10.0,21.0,8.0,11.0,27.0,15.0,9.0,8.0,40.0,22.0,13.0,4.0,0.019122661551923215,,84.42283950617285,-114.10714335590315,-114.10714335590315,-19.999821005990288,,,,,,,,,0.29790886184483445,0.019122661551923215,0.010065658170976172,0.6621449129594379,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145753;-114.10714335590315,,,,,NA,NA,NA,,,,,NA,NA,NA,0.29790886184483445,0.019122661551923215,0.008440253828674124,0.6546889785833413,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145753;-114.10714335590315,0.29790886184483445,0.019122661551923215,0.007954062150085272,0.6530835497774411,3.7036582584243332e-06;0.019122661551923242,x,13.342048548145753;-114.10714335590315,,,,,,,,,,,,,,,,,
significant.deleterious.mutations,42.0,19.0,7.0,11.0,16.0,34.0,42.0,43.0,11.0,31.0,30.0,35.0,27.0,35.0,42.0,39.0,35.0,18.0,0.7454871694188404,,136.97839506172838,21.912406321436762,21.912406321436762,3.8406377668431353,,,,,,,,,0.006770890384189876,0.7454871694188404,0.00010035787283100006,0.4867531392066746,3.9867095853178134e-08;0.7454871694188405,x,28.603194737150595;21.912406321436762,,,,,NA,NA,NA,,,,,NA,NA,NA,0.006770890384189876,0.7454871694188404,0.00017587767981864513,0.5037927518853541,3.9867095853178134e-08;0.7454871694188405,x,28.603194737150595;21.912406321436762,0.006770890384189876,0.7454871694188404,4.041204742100402e-05,0.491770063416204,3.9867095853178134e-08;0.7454871694188405,x,28.603194737150595;21.912406321436762,,,,,,,,,,,,,,,,,
mean.sub.low,-0.0074272382594616285,-0.00752032607679135,-0.005511165856194613,-0.007236901934035399,-0.003834614000523542,-0.005526301851456331,-0.005152441796350604,-0.0036047860445444255,-0.004574392015789152,-0.004480596080883766,-0.003998645984076533,-0.005093869644409236,-0.005197308118728219,-0.005150305567819138,-0.0038827903660841926,-0.003893322632102213,-0.007269652072654174,-0.007263641706535114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean.sub.high,-0.0026981108124898077,-0.003250456265490482,-0.002076594783587999,-0.0022900349790713364,-0.0012041559774194593,-0.001838790985818352,-0.002397102999504726,-0.0015786117498002026,-0.0013761280986467426,-0.0017349018807588134,-0.0012943052287749438,-0.002262637239639669,-0.0020771498469864106,-0.002236994126466917,-0.001419592808952438,-0.001451816719030582,-0.002993904812332369,-0.002610574368975831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
