Library,Time,LK1-G09_r1.cells,LK1-B04_r1.cells,LK5-B01_r1.cells,LK4-B01_r1.cells,LK2-A12_r1.cells,LK2-D07_r1.cells,LK6-A05_r1.cells,LK1-G11_r1.cells,LK1-F05_r1.cells,LK2-B04_r1.cells,LK1-A05_r1.cells,LK1-G09_r2.cells,LK1-B04_r2.cells,LK5-B01_r2.cells,LK4-B01_r2.cells,LK2-A12_r2.cells,LK2-D07_r2.cells,LK6-A05_r2.cells,LK1-G11_r2.cells,LK1-F05_r2.cells,LK2-B04_r2.cells,LK1-A05_r2.cells
GCP-0,0,223597719.24855164,184211761.9716234,98541387.15286833,252064916.55061865,253609552.47049576,196912319.2597919,223253647.00474986,222423205.6810881,168085238.9543611,202298969.7532373,235446453.0429841,202934110.55164263,178652698.90962082,207966148.29491156,194360914.40247107,180620912.60709727,222381344.8129144,222043446.2942749,220459961.079474,193880869.62643597,206229223.42302793,235549599.4267934
GCP-4,4,570100.7937935218,557000.8714142689,208700.47767632524,532802.5871582292,749215.7511608491,712701.3382006849,750935.4982070889,727231.3660183898,543598.0974214678,788107.475898447,918198.634109803,528511.2923239274,564718.9395947624,584152.3258470098,587060.973411703,532946.4294431778,690454.7099809042,633226.0294691878,648993.8837526075,571842.5575160293,762481.5325013183,911635.2182846797
GCP-7,7,1850836.4788326267,2030294.1870345795,726499.1555277482,1996705.7881043926,3077701.4978095833,3102754.9328309083,3371173.7808971023,3422488.0888238186,2777705.445855915,4306520.043154192,5073362.041178515,1901700.2502354376,2258161.143657107,2164737.890060107,2282828.919413969,2380339.4403558373,3217313.7558373525,3065994.7567724283,3284735.6455667303,3174127.126801887,4569215.275220695,5735578.645475457
GCP-10,10,5581379.132172054,6536641.87805428,2306401.8647495876,6267649.774576208,10242911.007340357,11177344.859583624,12545554.753665788,13580502.349524587,10675413.11073039,18271844.38439636,22794389.574793372,5476597.694752818,6725184.768486459,6546387.507188106,7033605.266956937,7637643.1824867865,11417928.13565198,11442069.269257993,12867224.212004472,12475233.351288382,18966523.02056303,25004099.511274025
GCP-13,13,19976111.880618677,24056769.0162822,8670348.337076798,24457465.099247757,40249656.75674262,47416953.48745303,55169187.06614895,62671647.53585974,48538064.05879003,85522356.64603527,93244140.85278776,22587035.200955354,29970787.249611363,26708953.44207844,28312841.012054548,34300555.55139169,49861287.85259202,50432985.84321083,58403219.27321181,54685968.77226428,81704049.53385524,99310405.94583403
GCP-16,16,77381436.81450412,85160375.57051785,37120362.23879012,90761590.14850935,135235847.4893433,134154699.12306866,144388179.5162173,144676479.9034945,109170389.45920035,144407025.54335764,159914763.85759777,79637262.43523355,94688926.8926773,91694424.66398646,103460656.8272565,123992220.04147205,154078894.32772392,139328678.6485855,139707176.99831584,115367401.46264738,144380991.7291219,161530350.49119657
GCP-20,20,171090978.03440458,133537995.11112049,116277760.8850528,144359604.7434526,151460944.2735796,150094355.5578417,162137922.3074158,159947581.084424,125062727.35130212,155037734.0735953,169533274.13179857,152800765.35019284,132602710.77418068,155236044.86237866,138319760.4078583,141003432.0981574,160353700.8565188,155616980.0277702,154637226.87099436,131633751.02027763,154295579.6920599,171069966.87681213
GCP-24,24,198849438.08419105,157130833.06314102,147212518.51780224,176014965.20730323,182815898.0754167,170449970.87206197,188709770.2899181,186070302.29040247,150814712.5768952,180250055.90131226,198765107.3730173,187293989.67623532,162724968.47629142,197900390.48975477,173271184.04319042,170894699.40390772,201503060.32154828,197781804.14414093,194137028.4283481,165615763.40487638,188928149.95947385,210839029.08140522
GCP-29,29,203487709.53957933,161511553.40932357,148592281.2944848,176436814.67400688,188016456.17684722,195874665.17503172,202930372.15118146,197300094.54529503,157802707.0861488,187451850.7118194,205453990.1732021,181713261.03713176,161340664.97344077,192348407.1184122,172258911.50296283,177618320.30176526,233442998.7345131,209124368.87128714,200379277.25409663,169625917.79117066,190002945.60890424,211960336.91823053
GCP-31,31,2028027.742391191,2133827.68021737,1858768.3552896394,2598389.587718418,2455572.7884074254,2995172.393007997,3345512.025679607,3439830.3654505243,2973716.1443144497,4728033.713653842,5206763.688296436,1873520.2659330517,2261192.351171565,2447174.1207353235,2614999.5408576312,2316142.6758961035,3652803.062309972,3194170.3222636767,3476194.3478842657,3319239.068095672,4790372.814587796,5395745.545584308
GCP-36,36,2003604.092578451,2124673.334530605,1794240.292603942,2455304.029769119,2338182.206816493,3316498.3336266447,3353246.790330887,3512508.2993700365,2820040.2745705573,4483912.207502903,5077956.412650813,1789592.6161567145,2062476.5433224898,2301428.1028747708,2388388.0304390113,2179022.3480520085,3764424.033767216,3184157.2056615325,3345784.9072054066,3075026.2237451477,4495818.466526278,5042115.278768591
