segregant,plate_expo_rate_r1,plate_expo_rate_r2,flask_expo_rate
LK1-G09,0.566172972282,0.592608015346,0.566472976391
LK1-B04,0.599490645429,0.625468864025,0.597793000039
LK5-B01,0.593212110897,0.604700389969,0.573302771044
LK4-B01,0.607063091756,0.613294956799,0.599618836311
LK2-A12,0.632568496122,0.656875101001,0.652012631655
LK2-D07,0.66722801515,0.678335366663,0.659197203655
LK6-A05,0.683098104045,0.694881022038,0.746287029599
LK1-G11,0.709206115779,0.714831643199,0.752385380156
LK1-F05,0.71278744753,0.723762057631,0.767706140885
LK2-B04,0.745677468431,0.74280403475,0.803624787164
LK1-A05,0.73886178957,0.747539565789,0.827613390816
